,question,A,B,C,D,correct_answer
0,What is the gender of Harry Potter?,Female,Male,Unknown,None of above,B
1,What is the gender of Lily J. Potter?,Female,Male,Unknown,None of above,A
2,What is the gender of James Potter I?,Female,Male,Unknown,None of above,B
3,What is the gender of Ron Weasley?,Female,Male,Unknown,None of above,B
4,What is the gender of Hermione Granger?,Female,Male,Unknown,None of above,A
5,What is the gender of Cho Chang?,Female,Male,Unknown,None of above,A
6,What is the gender of Albus Potter?,Female,Male,Unknown,None of above,B
7,What is the gender of Petunia Dursley?,Female,Male,Unknown,None of above,A
8,What is the gender of Dudley Dursley?,Female,Male,Unknown,None of above,B
9,What is the gender of William Weasley?,Female,Male,Unknown,None of above,B
10,What is the gender of Charles Weasley?,Female,Male,Unknown,None of above,B
11,What is the gender of Arthur Weasley?,Female,Male,Unknown,None of above,B
12,What is the gender of Cedric Diggory ?,Female,Male,Unknown,None of above,B
13,What is the gender of Roger Davies ?,Female,Male,Unknown,None of above,A
14,What is the gender of Aberforth Dumbledore?,Female,Male,Unknown,None of above,B
15,What is the gender of Ariana Dumbledore?,Female,Male,Unknown,None of above,A
16,What is the gender of Percival Dumbledore?,Female,Male,Unknown,None of above,B
17,What is the gender of Kendra Dumbledore?,Female,Male,Unknown,None of above,A
18,What is the gender of Draco Malfoy?,Female,Male,Unknown,None of above,B
19,What is the gender of Lucius Malfoy?,Female,Male,Unknown,None of above,B
20,What is the gender of Narcissa Malfoy?,Female,Male,Unknown,None of above,A
21,What is the gender of Scorpius Malfoy?,Female,Male,Unknown,None of above,B
22,What is the gender of Astoria Malfoy?,Female,Male,Unknown,None of above,A
23,What is the hair color of Harry Potter?,Blonde,Brown,Black,Dark,C
24,What is the hair color of Lily J. Potter?,Black,Dark,Brown,Red,D
25,What is the hair color of James Potter I?,Silver,Brown,Black,Dark,C
26,What is the hair color of Ron Weasley?,Red,Brown,Blonde,Black,A
27,What is the hair color of Hermione Granger?,Red,Silver,Blonde,Brown,D
28,What is the hair color of Cho Chang?,Blonde,Black,Brown,Dark,B
29,What is the hair color of Albus Potter?,Red,Black,Blonde,Brown,B
30,What is the hair color of Petunia Dursley?,Dark,Silver,Blonde,Brown,C
31,What is the hair color of Dudley Dursley?,Dark,Brown,Blonde,Red,C
32,What is the hair color of William Weasley?,Blonde,Red,Dark,Silver,B
33,What is the hair color of Charles Weasley?,Dark,Silver,Red,Black,C
34,What is the hair color of Arthur Weasley?,Red,Black,Dark,Blonde,A
35,What is the hair color of Cedric Diggory ?,Silver,Dark,Brown,Blonde,B
36,What is the hair color of Roger Davies ?,Dark,Silver,Brown,Black,C
37,What is the hair color of Aberforth Dumbledore?,Dark,Blonde,Silver,Red,C
